ticker,yahoo_ticker,lock_yahoo_ticker,expected_name,note
VIG,VIG.VI,1,Vienna Insurance Group AG,triage:add_suffix_by_region_hint;conf=HIGH
SHA,SHA0.DE,1,Schaeffler AG,triage:add_suffix_by_region_hint;conf=HIGH
BG,BG.VI,1,BAWAG Group AG,triage:add_suffix_by_region_hint;conf=HIGH
DEC,DEC.PA,1,JC Decaux S.A.,triage:add_suffix_by_region_hint;conf=HIGH
AXIA,AXIA,1,Centrais Elétricas Brasileiras S.A. - Eletrobrás,triage:add_suffix_by_region_hint;conf=HIGH
AXIA3,AXIA3.SA,1,Centrais Elétricas Brasileiras S.A. - Eletrobrás,triage:add_suffix_by_region_hint;conf=HIGH
EBS,EBS.VI,1,Erste Group Bank AG,triage:add_suffix_by_region_hint;conf=HIGH
GLE,GLE.PA,1,Societe Generale S.A.,triage:add_suffix_by_region_hint;conf=HIGH
HESM,HESM,1,Hess Corp.,Asset changed ticker
BRSL,BRSL,1,Brightstar Lottery PLC,Asset changed ticker
NEE,NEE,1,Nextera Energy Partners LP,Asset changed ticker
NVG,NVG.LS,1,The Navigator Company SA,triage:add_suffix_by_region_hint;conf=HIGH
TRN,TRN.MI,1,Terna Rete Elettrica Nazionale SpA,triage:add_suffix_by_region_hint;conf=HIGH
VOE,VOE.VI,1,Voestalpine AG,triage:add_suffix_by_region_hint;conf=HIGH
GTM,GTM,1,ZoomInfo Technologies Inc.,Asset changed ticker
BNP,BNP.PA,1,BNP Paribas S.A.,triage:add_suffix_by_region_hint;conf=HIGH
MBRF3,MBRF3.SA,1,Mafrig Global Foods S.A.,triage:add_suffix_by_region_hint;conf=HIGH
DIA,DIA,1,SPDR Dow Jones Industrial Average ETF Trust,Manual addition (Quantfury has separate asset vs DIA)
MZTI,MZTI,1,Marzetti Co,Manual addition
SUI-USD,SUI20947-USD,1,SUI,Quantfury SUI is SUI; Yahoo SUI-USD is other ticker
